No,Judul Berita,Isi Berita,Tanggal Berita,Kategori Berita
29,Kenali Penyebab Tuas Transmisi Mobil Manual Susah Masuk,"SOLO, KOMPAS.com - Tuas transmisi pada mobil manual merupakan kunci utama dalam pengoperasian kendaraan, karena berfungsi untuk mengatur perpindahan gigi secara manual sesuai kebutuhan pengemudi.Jika terjadi kerusakan pada komponen ini, kenyamanan berkendara akan terganggu, bahkan bisa memengaruhi keselamatan.Salah satu masalah yang sering ditemui adalah tuas transmisi yang sulit masuk gigi, yang dapat disebabkan oleh beberapa faktor mekanis pada sistem transmisi.Muchlis, Pemilik Bengkel Spesialis Toyota Mitsubishi, Garasi Auto Service mengatakan, saat tuas transmisi susah masuk bisa disebabkan oleh beberapa masalah.Baca juga: Pasar Melambat, Peluncuran Avanza Hybrid di RI Masih Tertunda?James Gilboy/thedrive.com Ilustrasi tuas transmisi manual mobil Toyota“Bisa jadi dari komponen transmisi yang sudah aus, misal clutch hub, hub sleeve, atau juga bisa karena sincromesh,” kata Muchlis kepada Kompas.com, Rabu (4/9/2024).Ketika salah satu komponen ini aus atau rusak, tuas transmisi akan sulit untuk dipindahkan dan mungkin juga terdengar bunyi gesekan atau bergetar saat mencoba memindahkan gigi.“Saat mobil melaju, mesin hidup, tuas transmisi susah masuk gigi padahal kopling sudah diinjak penuh, bisa jadi karena kopling lemah, sehingga putaran mesin tidak terputus sempurna,” katanya.Baca juga: Tes Singkat Toyota Prius Hybrid 2024 Rute Solo - YogyakartaMuchlis juga mengatakan, jika tuas transmisi susah masuk saat mesin mati pemiliknya bisa memeriksa apakah ada mekanikal transmisi yang bermasalah.“Misal kondisi sincromesh, hub sleeve, shift fork, dan sejenisnya.Selain itu, kondisinya ada yang macet atau aus bakal membuat perpindahan atau shifting tidak halus, baik kopling diinjak atau tidak karena kondisinya saat ini tidak ada putaran mesin,” ucap Muchlis.Muchlis mengatakan, jika masalah tersebut sudah terjadi maka sebaiknya segera diganti jika tidak ingin keausannya merata.“Wajib diganti, kalau diakali tentu tidak awet dan malah sering dua kali kerja. Dan jika dibiarkan dalam waktu lama keausan malah merata ke komponen lainnya,” katanya.",06/09/2024,OTOMOTIF
30,"21 Bank Setujui Restrukturisasi Utang Waskita Karya Rp 26,3 Triliun","JAKARTA, KOMPAS.com - PT Waskita Karya (Persero) Tbk dan 21 kreditor perbankan menyepakati restrukturisasi utang senilai Rp 26,3 triliun. Restrukturisasi ini membuat Waskita Karya mendapat keringanan bunga dan perpanjangan tenor pembayaran.  Kesepakatan restrukturisasi ditandai dengan penandatanganan Master Restructuring Agreement (MRA) antara Waskita Karya dengan 21 perbankan baik Himbara dan swasta di Menara Danareksa pada Jumat (6/9/2024). Menteri BUMN Erick Thohir mengatakan, kesepakatan restrukturisasi ini merupakan upaya untuk memperbaiki kinerja Waskita Karya. Ia pun berterima kasih kepada para perbankan yang mendukung penyehatan perusahaan konstruksi pelat merah ini.Baca juga: Waskita Keluar dari Daftar Hitam Kementerian ESDM, Bisa Ikut Tender Lagi  ""Kerja keras dua tahun hari ini terbukti bahwa kita berhasil untuk restrukturisasi yang tentu upaya perbaikan kinerja, dan saya mengucapkan terima kasih kepada para bank yang men-support (dukung),"" ujarnya dalam konferensi pers usai penandatanganan MRA.  Direktur Utama Waskita Karya Muhammad Hanugroho menjelaskan, total Rp 26,3 triliun kewajiban Waskita Karya yang direstrukturisasi seluruhnya berasal dari pinjaman bank.  Restrukturisasi ini membuat Waskita Karya mendapat keringanan bunga pinjaman dari sekitar 5 persen menjadi 3,5 persen. Selain itu, tenor pembayaran diperpanjang dari satu tahun menjadi 10 tahun.  ""Jadi ada penurunan suku bunga menjadi ke 3,5 persen dan jangka waktunya itu sekitar 10 tahun yang kita setujui bersama,"" kata dia.  Selain menyepakati restrukturisasi, Waskita Karya juga berhasil mendapat persetujuan terkait Pokok Perubahan Perjanjian fasilitas Kredit Modal Kerja Penjaminan (KMKP) yang dilakukan oleh lima kreditur perbankan dengan nilai outstanding sebesar Rp 5,2 triliun. Hanugroho mengatakan, restrukturisasi tersebut ditargetkan mulai efektif pada September 2024. Ia bilang, setelah restrukturisasi efektif, diharapkan perusahaan bisa mendapatkan kestabilan finansial yang lebih kuat. KOMPAS.com/YOHANA ARTHA ULY Konferensi pers terkait penandatanganan Master Restructuring Agreement (MRA) antara Waskita Karya di Menara Danareksa dengan 21 perbankan pada Jumat (6/9/2024).Seiring dengan perbaikan finansial, perusahaan turut memperbaiki tata kelola, memperkuat manajemen risiko, serta mengedepankan integritas, akuntabilitas, dan transparansi.  ""Penandatanganan ini menjadi titik awal buat kami dari sisi Waskita Karya, dengan harapan juga kepercayaan yang diberikan kepada kami, tentunya harus direfleksikan ke dalam performa kami,"" ucap Hanugroho. Di sisi lain, Waskita Karya juga telah menyelesaikan restrukturisasi tiga seri surat utang atau obligasi dengan total nilai Rp 3 triliun. Restrukturisasi obligasi ini menyepakati penurunan bunga dari sekitar 8 persen menjadi sebesar 5 persen.  Sementara itu, ada satu seri obligasi lagi yang saat ini masih dalam proses restrukturisasi dengan nilai Rp 1,3 triliun.  ""Jadi yang obligasi tinggi satu yang belum kita selesaikan. Ini bisa kita lakukan pada waktu yang akan datang, nilainya itu sekitar Rp 1,3 triliun,"" kata dia. Baca juga: Waskita Karya Laporkan Kerugian Rp 2,15 Triliun pada Semester I 2024",06/09/2024,MONEY
31,"Fenomena Truk Oleng, Ingat Sanksi Mencelakai Pengguna Jalan Lain","JAKARTA, KOMPAS.com - Belakangan ini, beredar video viral di media sosial yang memperlihatkan truk ugal-ugalan. Aksi yang banyak disebut dengan ""truk oleng"" itu dinilai sangat membahayakan pengguna jalan lainnya.Video viral tersebut diunggah oleh akun media sosial X @Heraloebs, Rabu (4/9/2024). Pada video, terlihat sopir mengemudikan truk dengan cara zigzag hingga hampir kehilangan keseimbangan. Sayangnya, tidak disebutkan di mana lokasi kejadian tersebut.Budiyanto, pemerhati masalah transportasi dan hukum, mengatakan, regulasi sudah jelas mengatur tentang tata cara berlalu lintas yang baik dan benar.Baca juga: Video Sopir Truk Salah Baca Kode Sein Bus Saat Menyalip""Mengemudikan kendaraan bermotor di jalan dengan cara meliuk-liuk atau zigzag, tentunya sangat membahayakan, baik terhadap keselamatan diri sendiri maupun orang lain,"" ujar Budiyanto, saat dihubungi Kompas.com, belum lama ini.Kalo yang Modyar Supir Trucknya sih ga papa, tapi kalo yang tewas pengguna jalan lain mending Bakar saja Supir dan Trucknya Halow apa kabar Fungsi Pengawasan dan Penindakan? pic.twitter.com/NRDQJOMvljBudiyanto menambahkan, pada Pasal 311 ayat 1 Undang-Undang No. 22 Tahun 2009 tentang Lalu Lintas dan Angkutan Jalan (UU LLAJ), disebutkan bahwa setiap orang yang dengan sengaja mengemudikan kendaraan bermotor dengan cara atau keadaan yang membahayakan bagi nyawa atau barang dipidana dengan pidana penjara paling lama satu tahun atau denda paling banyak Rp 3 juta.""Sangat jelas secara kasat mata bahwa pengemudi dalam mengemudikan kendaraannya dengan cara atau keadaan yang membahayakan bagi nyawa atau barang. Perlu ada penindakan secara tegas dan konsisten terhadap pelanggaran dalam video yang viral, termasuk contoh lain yang pernah viral,"" kata Budiyanto.Menurutnya, aksi sopir truk tersebut sangat berpotensi menyebabkan kecelakaan. Apabila sampai terjadi kecelakaan dan mengakibatkan orang luka-luka atau sampai meninggal dunia dapat dikenakan pasal kesengajaan yang diatur dalam ketentuan pidana Pasal 311 UU LLAJ.Baca juga: Tips Aman Berkendara di Antara Truk Besar""Apabila sampai menimbulkan korban luka berat, dapat dikenakan ayat 4, dipidana paling lama sepuluh tahun atau denda paling banyak Rp 20 juta. Namun, apabila sampai menimbulkan korban meninggal dunia dapat dikenakan ayat 5, dapat dipidana dengan pidana penjara paling lama 12 tahun atau denda paling banyak Rp 24 juta,"" ujarnya.Dok. @Heraloebss Video viral di media sosial, fenomena Truk OlengBudiyanto menambahkan, penyidik harus mampu membuktikan unsur-unsur adanya kesengajaan terhadap peristiwa kecelakaan tersebut. Namun, apabila tidak mampu membuktikan adanya unsur sengaja dapat dicarikan pasal karena kelalaian, yakni Pasal 310 UU LLAJ.""Korban luka berat dapat dipidana dengan pidana penjara paling lama lima tahun atau denda paling banyak Rp 10 juta, dan apabila meninggal dunia dpt diadili dengan pidana penjara enam tahun atau denda paling banyak Rp 12 juta,"" kata Budiyanto.""Tindakan hukum secara tegas dan konsisten harus dibarengi dengan langkah-langkah edukasi dan preventif atau pencegahan secara terus menerus,"" ujarnya.",06/09/2024,OTOMOTIF
32,"Daya Beli Masyarakat Melemah, Sektor Jasa Keuangan Masih Melaju","JAKARTA, KOMPAS.com - Otoritas Jasa Keuangan (OJK) menilai fenomena deflasi selama 4 bulan berturut-turut dan jutaan kelas menengah ""turun kelas"" belum berdampak signifikan terhadap sektor jasa keuangan nasional.Ketua Dewan Komisioner OJK Mahendra Siregar Mengatakan, hal itu terefleksikan dari data-data penyaluran kredit serta pembiayaan industri jasa keuangan yang masih tumbuh double digit.Di sektor perbankan, laju pertumbuhan kredit semakin pesat, yakni mencapai 12,40 persen secara tahunan (year on year/yoy) menjadi Rp 7.515 triliun pada Juli 2024.Baca juga: Solusi Apindo untuk Atasi Jumlah Kelas Menengah yang Terus MenurunKemudian, di sektor perusahaan pembiayaan, penyaluran pembiayaan masih tumbuh dua digit, namun melambat, ke 10,53 persen, menjadi Rp 494,10 triliun pada Juli 2024.Lalu outstanding pembiayaan yang disalurkan lewat financial technology peer to peer lending (fintech P2P lending) tumbuh tinggi 23,97 persen menjadi Rp 69,39 triliun.""Itu dapat untuk kemudian kita simpulkan bahwa terjadinya deflasi dan penurunan jumlah kelas menengah itu dilihat dari angka-angka yang ada dalam sektor jasa keuangan nampaknya belum memperlihatkan atau tidak memperlihatkan dampak yang signifikan,"" tutur Mahendra dalam Konferensi Pers Hasil RDK Bulanan Agustus 2024, secara virtual, Jumat (6/9/2024).Baca juga: FILONOMICS: Warisan Utang Jokowi ke Prabowo Rp 8.500 Triliun, Alarm buat Kelas MenengahMahendra menilai pelemahan daya beli di masyarakat sebenarnya belum terlihat, meskipun data Badan Pusat Statistik (BPS) menunjukkan indeks harga konsumen (IHK) mengalami deflasi secara bulanan (month to month/mtm) selama 4 bulan berturut-turut, yakni dari Mei hingga Agustus 2024.Pasalnya komponen inflasi inti, yang biasanya menggambarkan daya beli masyarakat, masih mengalami inflasi sebesar sebesar 0,20 persen secara mtm pada Agustus 2024.""Itu menunjukkan bahwa permintaan tetap memperlihatkan peningkatan,"" kata Mahendra.Baca juga: Beban Pengeluaran Kelas Menengah yang Terus Melonjak, Terutama buat TransportasiMeskipun demikian, Mahendra bilang, OJK akan bekerja sama dengan pemerintah, untuk memastikan daya beli masyarakat tetap terjaga, di tengah tanda-tanda pelemahan yang muncul.""Tentu kita ingin terus mengupayakan terjaganya daya beli masyarakat,"" ucap Mahendra.Sebagai informasi, tanda-tanda pelemahan daya beli masyarakat semakin terlihat setelah BPS merilis data IHK Agustus 2024 yang mencatatkan deflasi sebesar 0,03 persen secara mtm.Baca juga: Pulihkan Kelas Menengah, Prabowo-Gibran Larang Kontraktor Konglomerat Garap 2 Juta Rumah di PedesaanDengan demikian, Indonesia mengalami deflasi selama 4 bulan berturut-turut pada Mei - Agustus 2024, di mana pada Mei terjadi deflasi sebesar 0,03 persen, Juni sebesar 0,08 persen, Juli sebesar 0,18 persen, dan Agustus sebesar 0,03 persen.Bersamaan dengan itu, terdapat juga fenomena jutaan masyarakat tergolong kelas menengah ""turun kelas"" setiap tahunnya pada periode 2019-2024. BPS mencatat jumlah penduduk kelas menengah mencapai 57,33 juta jiwa (21,45 persen) pada 2019, 53,83 juta jiwa (19,82 persen) pada 2021, 49,51 juta jiwa (18,06 persen) pada 2022, 48,27 juta jiwa (17,44 persen) pada 2023, dan 47,85 juta jiwa (17,13 persen) pada 2024.Baca juga: Bukti Nyata Pentingnya Kelas Menengah bagi Perekonomian Nasional",06/09/2024,MONEY
33,Bulog Pastikan Stok Beras Nasional Tercukupi hingga Akhir Tahun,"JAKARTA, KOMPAS.com - Perum Bulog memastikan stok beras nasional tercukupi hingga akhir tahun 2024.Hal ini disampaikan Direktur Utama Perum Bulog Bayu Krisnamurthi dalam rapat kerja dengan Komisi IV DPR RI di Kompleks Parlemen, Senayan, Jakarta Pusat, Jumat (6/9/2024).“Insya Allah cukup. Stok kita sampai akhir tahun 1,5 juta (ton). Masih ada di gudang, sampai akhir tahun,” kata Bayu.Per hari ini, kata Bayu, stok beras nasional mencapai 1,35 juta ton. Dari jumlah tersebut, 880.000 ton di antaranya diserap dari produksi dalam negeri.Baca juga: Belum Ada Perintah Impor, Bulog Was-was Cadangan Beras Kian Menipis“Kalau saat ini posisi stok kita 1,35 juta (ton) posisi per hari ini dan serapan kita sudah 880.000 (ton) dari dalam negeri,” kata Bayu usai rapat.Bayu menambahkan bahwa Perum Bulog sedang menunggu penugasan importasi beras untuk tahun 2025. Sebab, ia memprediksi, Indonesia akan kekurangan stok beras sebanyak 3 juta ton di awal tahun depan.“Sampai saat ini, (untuk) 2025, Bulog belum mendapatkan tugas (impor beras). Gitu saja,” kata Bayu.Terkait kebutuhan angka impor, Bayu mengatakan bahwa Perum Bulog belum bisa menentukan. “Kita tunggu saja penugasan dari pemerintah,” ujar Bayu.Bayu berharap pemerintah juga segera menugaskan Perum Bulog untuk tugas lain, seperti penyaluran bantuan pangan.""Kalaupun berharap, penugasan kepada Bulog apakah penugasan bantuan pangan, penugasan untuk SPHP (stabilisasi pasokan dan harga pangan), penugasan untuk pengadaan dalam negeri, itu diberikan lebih awal,"" kata Bayu.Sebelumnya, Bayu mengungkapkan bahwa Perum Bulog masih menjalankan penugasan impor beras sebanyak 3,6 juta ton hingga akhir tahun 2024.""Kita harus memperhitungkan bahwa produksi kita mungkin tidak sebaik yang kita inginkan. Oleh sebab itu, importasi Bulog yang 3,6 juta ton belum selesai. Kita lanjutkan untuk memasukkan lagi kurang lebih sekitar 900.000 ton tahun ini,"" ujar Bayu dalam konferensi pers di Kantor Bulog, Jakarta, Jumat (30/8/2024).Tahun ini, Perum Bulog sudah mengimpor 2,5 juta ton beras yang didominasi oleh Thailand dan Vietnam.Baca juga: BPS: Harga Beras Per Agustus 2024 Naik 11,19 Persen Dibanding Tahun Lalu",06/09/2024,MONEY
34,Akan Adakah Merek Mobil Listrik Lokal?,"JAKARTA, KOMPAS.com - Pertumbuhan mobil listrik di Indonesia bagai pedang bermata dua. Beberapa pihak beranggapan Indonesia jangan hanya jadi tempat jualan tapi juga jadi pelaku industri.Pada segmen sepeda motor lisrik ada Gesits sebagai merek motor listrik lokal. Sedangkan di segmen roda empat ada Mobil Anak Bangsa (MAB), yang merupakan perusahaan bentukan Moeldoko, Ketua Umum Periklindo sekaligus Kepala Staf Kepresidenan RI.Baca juga: Jangan Asal Injak Pedal Gas Mobil Matik CVT Saat di TanjakanNamun perusahaan Moeldoko tersebut bisa dikatakan baru terjun pada manufaktur kendaraan komersial baik bus dan truk listrik. Belum ada merek yang fokus pada mobil listrik.KOMPAS.com/KRISTIANTO PURNOMO Prototipe Metropod buatan PT Mobil Anak Bangsa dipamerkan di ajang Periklindo Electric Vehicle Show (PEVS) 2022 di JIExpo Kemayoran, Rabu (27/7/2022). Prototipe kendaraan listrik mungil yang dijadikan kendaraan feeder ditargetkan bakal masuk jalur produksi massal di tahun depan.Sekretaris Jenderal Periklindo, Tenggono Chuandra Phoa, mengatakan, era kendaraan listrik saat ini terbuka lebar kalau ada perusahaan lokal ingin buat mobil listrik nasional.""Ini sangat terbuka punya MAB itu nasional. Kita salut bahwa sasis kendaraan itu yang paling susah, diproduksi di Indonesia,"" kata Tenggono yang ditemui di Jakarta, Rabu (4/9/2024).""Saya yakin nanti akan banyak yang ikut produksi juga menjadi nasional,"" ujarnya.Baca juga: Pasar Melambat, Peluncuran Avanza Hybrid di RI Masih Tertunda?KOMPAS.com/Dio Motor listrik Gesits Raya GBicara peluang, pasar mobil listrik di Indonesia dipercaya bakal terus meningkat. Penjualan mobil listrik 2024 diyakini bisa tembus 30.p00 unit atau naik hampir dua kali lipat dari tahun 2023.Berdasarkan data Gabungan Industri Kendaraan Bermotor Indonesia (Gaikindo), perioade Januari-Juni 2024 mobil listrik berhasil terjual 11.940 unit. Naik 104,13 persen dibanding periode sama pada 2023 yaitu 5.849 unit.Kendati demikian, meski target tahun ini tercapai penjualan mobil listrik baru masih jauh dari target pemerintah yang sebesar 50.000 unit hingga akhir tahun nanti.",06/09/2024,OTOMOTIF
35,"Viral Video CVT Motor Dibersihkan Pakai Air Sabun, Apakah Bahaya?","JAKARTA, KOMPAS.com - Video yang menunjukkan seorang pemilik sepeda motor menyiram blok CVT Yamaha NMax menggunakan air sabun viral di media sosial.Video itu diunggah oleh akun Instagram @maticgariskeras, dikutip pada Jumat (6/9/2024) yang telah dilihat lebih dari 3.000 kali.""Gak bahaya tah?"" tulis pengunggah.Baca juga: Saat Mesin Mobil Overheat Jangan Coba-coba Dipaksa JalanA post shared by MATIC GARIS KERAS (@maticgariskeras)Aksi pemilik sepeda motor itu pun menuai komentar dari warganet yang menilai aksinya membahayakan kesehatan kendaraan karena bisa berdampak fatal.Sehubungan video tersebut, Training Analyst PT Wahana Makmur Sejati (WMS) Wahyu Budhi menjelaskan sebenarnya tindakan itu boleh-boleh saja. Tetapi, ada beberapa hal yang patut diperhatikan.""Ada beberapa orang bilang bisa membersihkan CVT motor matik dengan air sabun bisa dilakukan, tetapi harus dibilas sampai bersih dan kering,"" kata dia kepada Kompas.com, Jumat.Apabila tidak dibilas sampai bersih, lanjutnya, air sabun dapat membuat CVT menjadi kerak. Kemudian, tidak semua bagian ini juga boleh dibersihkan.Baca juga: Jangan Asal Injak Pedal Gas Mobil Matik CVT Saat di TanjakanDok. YIMM Ilustrasi servis CVT motor matikAdapun beberapa komponen CVT yang bisa dibersihkan dengan air sabun adalah pulley depan dan belakang, roller, belt, rumah roller, kampas ganda.""Ada juga yang bilang jangan pernah membersihkan busa CVT ini menggunakan sabun dan air, lalu mengeringkannya. Cara ini akan membuat bagian CVT menjadi lebih cepat rusak,"" ucap Wahyu.Jadi, supaya aman baiknya cukup membersihkan bagian ruangan CVT menggunakan bensin atau penetran dari bengkel resmi, dalam hal ini Honda HPC.Apabila hendak membersihkan bagian lebih dalam, disarankan untuk dilakukan di bengkel resmi agar optimal.Baca juga: Ketahui Tanda Mesin Mobil Sedang Mengalami Overheat""Sepeda motor yang menggunakan transmisi matik selalu dilengkapi dengan CVT. CVT sendiri merupakan komponen penggerak yang digunakan dalam sepeda motor matik dan komponen ini juga perlu dilakukan perawatan secara rutin ketika sudah digunakan lebih dari 8.000 km, dan akan diganti setiap 24.000 km,"" kata Wahyu.""CVT selalu dilengkapi busa yang berfungsi sebagai filter untuk melindungi karet CVT dan juga roller dari debu dan kotoran. Busa CVT harus dibersihkan secara rutin agar tidak terjadi kerusakan yang fatal akibat debu dan kotoran masuk dalam mesin,"" ucap dia.",06/09/2024,OTOMOTIF
36,"Fenomena Truk Oleng, Jadi Kebanggaan Sopir yang Mangancam Jiwa","JAKARTA, KOMPAS,com - Akhir-akhir ini viral fenomena video yang memperlihatkan sopir truk sedang mengendarai dengan cara yang tidak biasa. Bahkan, fenomena ini disebut sebagai aksi dari truk oleng.Pada sejumlah cuplikan video yang beredar di media sosial, memperlihatkan truk seolah sengaja membuat manuver kesana kemari sehingga menguasai jalan, bahkan hampir terbalik. Baca juga: Federal Oil Umumkan Pemenang Program Nyaman Berhadiah 2024Kalo yang Modyar Supir Trucknya sih ga papa, tapi kalo yang tewas pengguna jalan lain mending Bakar saja Supir dan Trucknya Halow apa kabar Fungsi Pengawasan dan Penindakan? pic.twitter.com/NRDQJOMvlj Maman Fathurrohman, pengamat otomotif khusus untuk kendaraan niaga mengatakan, aksi ini memang ada unsur kesengajaan dari pengemudi truk. Mereka dengan sengaja berkendara dengan teknik yang tidak biasa agar truk jadi oleng.""Fenomena ini berawal dari para sopir yang ingin unjuk kebolehan seperti halnya aksi freestyle motor, hanya saja bedanya ini bukan motor namun truk. Hal itu juga makin diperkuat dengan media sosial yang terus berkembang, sehingga mereka (sopir truk) juga ingin unjuk kebolehannya membuat konten yang viral di media sosial,"" kata Maman kepada Kompas.com, Jumat (6/9/2024). Baca juga: Toyota New Fortuner Resmi Meluncur, Harga mulai Rp 600 JutaanMaman menekankan, kalau aksi ini tidak bisa dianggap sepele lantaran berbahaya. Meski begitu, tren ini sudah berlangsung sejak lama sebelum era media sosial berkembang seperti saat ini.Biasanya fenomena truk oleng ini marak terjadi di daerah rural Indonesia dengan bak kayu. Oleh karena itu cara berkendara sopir truk yang sangat bebahaya ini seolah tidak terjamah oleh penegak hukum. ""Kalau untuk kontes, cara mengendarai truk seperti ini tidak masalah. Namun kalau untuk bekerja sangat berbahaya dan mengancam jiwa banyak orang dan akan menimbulkan banyak kerugian bila muatannya sampai rusak. Sebab truk ini punya blind sport yang besar tanggung jawabnya juga besar,"" kata Maman. ",06/09/2024,OTOMOTIF
37,"IHSG Akhir Pekan Ditutup ""Hijau"", Rupiah Masih Menguat  ","JAKARTA, KOMPAS.com - Indeks Harga Saham Gabungan (IHSG) berakhir di zona hijau pada penutupan perdagangan di Bursa Efek Indonesia (BEI), Jumat (6/9/2024). Rupiah juga mengalami penguatan pada penutupan perdagangan pasar spot. IHSG ditutup menguat 40,80 poin (0,53 persen) pada level 7.721,84. Mengutip data RTI, sebanyak 311 saham melaju di zona hijau dan 281 saham berada di zona merah. Sementara itu, sebanyak 201 saham lainnya stagnan. Jumlah transaksi sore ini mencapai Rp 9,67 triliun dengan volume 24,26 miliar saham.Saham-saham yang menjadi top losers dan menekan IHSG antara lain Hartadinata Abadi (HRTA) turun 3.06 persen ke level 380. Kemudian ada PP (PTPP) yang turun 2,52 persen ke level 464. Selain itu, ada Adaro Energy indonesia yang turu 2,25 persen ke level 3.470..Baca juga: IHSG Meradang di Awal Sesi, 288 Saham Masuk Zona MerahSementara itu, saham-saham yang menjadi top gainers dan menopang IHSG antara lain Erajaya Swasembada (ERAA) yang naik 5,24 persen ke level 442. Kemudian ada Krakatau Steel (KRAS) yang tumbuh 4,17 persen ke level 125. Selain itu, terdapat Astra Agro Lestari (AALI) yang tumbuh 3,92 persen ke level 6.625.Bursa Asia mayoritas berada di zona merah pada sesi perdagangan ini dengan Shanghai Komposit tumbuh 0,81 persen (4,18 poin) ke posisi 3.454, dan Nikkei melemah 0,72 persen (265,60 poin) ke posisi 36.391,50. Sementara itu, Strait Times turun 0,12 persen (4,18 poin) ke level 3.454,46, dan Hang Seng Hong Kong tidak mengalami perubahan atau tetap berada di level 17.444,0.Baca juga: IHSG Diproyeksikan Menguat Terbatas, Ini Analisis dan Rekomendasi Saham Hari IniMengutip data Bloomberg, nilai tukar rupiah terhadap dollar AS di pasar spot sore ini ditutup menguat. Mata uang garuda ditutup pada level Rp 15.377,50 per dollar AS atau menguat 23,50 poin (0,15 persen) dibandingkan dengan sebelumnya pada level Rp 15.401 per dollar AS. Sementara itu, mengacu pada kurs tengah Jisdor, nilai tukar rupiah pada Jumat (6/9/2024) berada di level Rp 15.372 per dollar AS, atau menguat dibanding Kamis (5/9/2024) pada level Rp 15.410 per dollar AS.Baca juga: Bursa Saham Lapor Ada 23 Anggota yang Tertarik Transaksi Short Selling ",06/09/2024,MONEY
38,Pelaku Usaha Sebut Standar Desain Kemasan Polos Picu Rokok Ilegal,"JAKARTA, KOMPAS.com - Rancangan Peraturan Menteri Kesehatan (RPMK) tentang Pengamanan Produk Tembakau dan Rokok Elektronik yang memuat soal pengaturan desain kemasan menimbulkan penolakan keras dari industri.Usulan kewajiban penerapan kemasan polos untuk produk tembakau dan rokok elektronik dipandang muncul tanpa dasar hukum yang jelas.Pasalnya, Undang-Undang (UU) No. 17 Tahun 2023 tentang Kesehatan maupun aturan turunannya di Peraturan Pemerintah (PP) Nomor 28 Tahun 2024 sama sekali tidak mengamanahkan pengaturan terkait desain dan kemasan polos untuk produk tembakau dan rokok elektrik.Baca juga: Pendapatan Gudang Garam Turun Imbas Cukai RokokWIKIMEDIA COMMONS/SANTERI VIINAMAKI Ilustrasi rokok, cukai rokok.“Secara kolektif pemangku kepentingan sektor tembakau telah menolak usulan aturan kemasan polos. Karena memang secara historis Indonesia pernah melakukan gugatan kepada World Trade Organization (WTO) pada 2015 dan itu menjadi satu pertimbangan,” kata Sekretaris Dewan Pertimbangan Asosiasi Pengusaha Indonesia (Apindo) Suryadi Sasmita dalam keterangannya, Jumat (6/9/2024). Kebijakan kemasan polos pun menimbulkan perlakuan diskriminatif terhadap merek dagang produk tembakau.Berdasarkan draf tersebut, standar desain kemasan produk rokok baik produk konvensional maupun elektronik akan disamakan baik secara warna, desain, maupun font tulisannya.Pemilihan warna pantone 448 C sebagai warna yang harus digunakan seluruh produsen ini dirumuskan tanpa berkonsultasi dengan industri.Baca juga: Pengusaha Tolak Aturan Pelarangan Jual Rokok Eceran, YLKI: Apa Mau Anak-anak Jadi Perokok Semua?Padahal, salah satu penelitian menyebutkan warna cokelat lumpur tua ini sebagai warna terjelek di dunia yang dapat berdampak negatif terhadap industri.",06/09/2024,MONEY
39,Subsidi KRL Berbasis NIK Segera Masuk Pembahasan Pemerintah,"JAKARTA, KOMPAS.com - Menteri Perhubungan (Menhub) Budi Karya Sumadi mengatakan, pemerintah akan membahas soal rencana menerapkan subsidi tiket KRL Jabodetabek berbasis nomor induk kependudukan (NIK).Pembahasan rencana tersebut menurutnya menunggu selesainya pembicaraan soal anggaran di Dewan Perwakilan Rakyat (DPR).""Ya kita lagi merencanakan waktu, karena Pak Menko, Bu Menteri Keuangan tengah menyelesaikan (pembahasan) anggaran di DPR. Setelah ini kita akan adakan rapat dan seperti apa yang dilakukan,"" ujar Budi di JiExpo Kemayoran, Jakarta Pusat, Jumat (6/9/2024).Baca juga: Subsidi KRL Berbasis NIK, YLKI: Aneh, Absurd, Menggelikan...Budi menegaskan, pada dasarnya rencana tiket KRL berbasis NIK merujuk kepada niat pemerintah menerapkan teknologi yakni dengan mengatur sistem tiket KRL melalui satu teknologi.Hanya saja, Budi tidak menjelaskan lebih lanjut perihal teknologi yang ia maksud. ""Tapi pada dasarnya kalau kita bicara mengenai ini adalah bagaimana kita mengatur tikceting itu dengan satu teknologi. Intinya itu,"" ungkapnya. Baca juga: Soal Subsidi KRL Berbasis NIK, Commuter Line: Belum Ada Arahan dari KemenhubUntuk diketahui, rencana pengubahan skema subsidi PSO KRL Jabodetabek ini tertuang dalam Buku II Nota Keuangan beserta Rancangan APBN Tahun Anggaran 2025.Pada RAPBN 2025, pemerintah mengalokasikan subsidi PSO kepada PT Kereta Api Indonesia (Persero) atau KAI sebesar Rp 4,79 triliun untuk berbagai layanan kereta api.Namun pada RAPBN tahun depan penyaluran subsidi PSO kereta api itu dilakukan dengan beberapa perbaikan, salah satunya dengan penerapan tiket elektronik berbasis NIK kepada pengguna transportasi KRL Jabodetabek.Baca juga: Erick Thohir Buka Suara soal Wacana Subsidi KRL Berbasis NIKSementara itu, Direktur Jenderal Perkeretaapian Kemenhub, Risal Wasal menyatakan dengan penerapan tiket KRL berbasis NIK, pemerintah ingin subsidi PSO disalurkan lebih tepat sasaran. ""Rencana ini merupakan bagian dari upaya DJKA dalam melakukan penyesuaian tarif KRL Jabodetabek dengan subsidi yang lebih tepat sasaran,"" ujarnya beberapa waktu lalu.Baca juga: NIK Diskriminasi Penumpang KRL",06/09/2024,MONEY
